Unnamed: 0,Unnamed: 1,Actual Jul 23 vs Budget Jul 23,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Actual YTD Jul 23 vs Budget YTD Jul 23,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,Particulars,Annapurna,,,,,,,,,,Total,,,,,Annapurna,,,,,,,,,,Total,,,
,,Atta,,,,,Salt,,,,,,,,,,Atta,,,,,Salt,,,,,,,,
,INR Cr,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%
,Total Volumes ('000 tn),0.9125700000000001,1.712102308452095,-0.7995323084520949,-0.46698862825256565,,4.9215834,6.13817712906886,-1.21659372906886,-0.19820114400208144,,5.8341534,7.850279437520955,-2.016126037520955,-0.25682220022445834,,3.7508100631256514,5.471397909649865,-1.720587846524214,-0.3144695149094577,,22.0360649,29.421531247429304,-7.385466347429304,-0.2510225006754061,,25.78687496312565,34.892929157079166,-9.106054193953515,-0.26097133184091126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total GSV,4.5930024419999995,8.36031250254493,-3.767310060544931,-0.45061833028348386,,5.256544008,6.843549047020151,-1.587005039020151,-0.2318979564720402,,9.849546449999998,15.203861549565081,-5.354315099565083,-0.35216810427468326,,19.191007098,27.624992468454497,-8.433985370454497,-0.3053027210807541,,23.467081917,31.231914087314497,-7.764832170314495,-0.24861851721948564,,42.658089015,58.856906555768994,-16.198817540768992,-0.27522373309613274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Promotions,0.316917168498,0.7290748964147143,-0.41215772791671434,-0.5653160326100019,,0.8883559373519998,1.06599177474851,-0.17763583739651012,-0.16663903193663776,,1.20527310585,1.7950666711632244,-0.5897935653132245,-0.3285635986606733,,1.4815633384137847,2.36555398253956,-0.8839906441257754,-0.37369286461041146,,4.160230118384562,5.187625466558258,-1.0273953481736964,-0.1980473252737199,,5.6417934567983465,7.553179449097819,-1.911385992299472,-0.25305714039771365
,% of GSV,0.069,0.08720665599435182,-0.01820665599435181,,,0.16899999999999998,0.15576592896819655,0.013234071031803435,,,0.12236838639915243,0.11806649681143497,0.004301889587717461,,,0.07720091659849297,0.08563093674109888,-0.00843002014260591,,,0.17727939643704962,0.16610014525703765,0.011179251180011979,,,0.1322561227441413,0.12833123402333277,0.003924888720808539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Realisation (Rs/Kg),50.330412373845284,48.830682963703595,1.4997294101416898,0.030712849362693858,,10.680595208444501,11.149155365052643,-0.46856015660814165,-0.042026516024420764,,16.882563372433776,19.367287076300965,-2.484723703867189,-0.12829487651410165,,51.16496643396444,50.489825314537065,0.6751411194273729,0.013371825218674024,,10.649397713926684,10.615325838978341,0.034071874948342185,0.0032096871509335965,,16.54255859851169,16.8678606174936,-0.3253020189819118,-0.01928531580611605
,Total Net Revenue,4.276085273502,7.631237606130216,-3.355152332628216,-0.43966031537702394,,4.368188070647999,5.777557272271641,-1.4093692016236412,-0.24393859467004478,,8.644273344149997,13.408794878401856,-4.764521534251859,-0.35532809454235786,,17.709443759586215,25.259438485914938,-7.549994726328723,-0.2988979636478744,,19.30685179861544,26.044288620756237,-6.737436822140797,-0.2586915281214989,,37.016295558201655,51.303727106671175,-14.28743154846952,-0.27848720461893467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,3.04456416,5.674913871290858,-2.630349711290858,-0.46350478103248094,,2.4009142564,3.4669227740074917,-1.0660085176074916,-0.3074797412851712,,5.4454784164,9.14183664529835,-3.696358228898349,-0.4043343118364938,,13.526279259999999,19.4046080851942,-5.8783288251942025,-0.3029346843484766,,11.037492766300808,15.898631390642663,-4.861138624341855,-0.3057583074227973,,24.563772026300807,35.30323947583686,-10.739467449536054,-0.3042062884027012
,% of Net Rev,0.7119979994006488,0.7436426650812403,-0.031644665680591544,,,0.5496361918418582,0.6000672274849392,-0.050431035643081046,,,0.6299521312667908,0.6817791403479154,-0.051827009081124586,,,0.7637890519671547,0.7682121713043826,-0.004423119337227832,,,0.5716878588715507,0.6104459838450762,-0.03875812497352549,,,0.6635934702779366,0.6881223152156966,-0.024528844937759975,
,Material Cost,3.04456416,5.674913871290858,-2.630349711290858,-0.46350478103248094,,2.4009142564,3.4669227740074917,-1.0660085176074916,-0.3074797412851712,,5.4454784164,9.14183664529835,-3.696358228898349,-0.4043343118364938,,13.526279259999999,19.4046080851942,-5.8783288251942025,-0.3029346843484766,,11.037492766300808,15.898631390642663,-4.861138624341855,-0.3057583074227973,,24.563772026300807,35.30323947583686,-10.739467449536054,-0.3042062884027012
