Unnamed: 0,Unnamed: 1,Actual Jul 23 vs Budget Jul 23,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Actual YTD Jul 23 vs Budget YTD Jul 23,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,Material Cost (Rs/Kg),33.36252736776357,33.145880612832805,0.21664675493076402,0.006536159273043624,,4.878337033565254,5.648130871931048,-0.7697938383657945,-0.13629178498525274,,9.333793685301453,11.645237240351353,-2.3114435550499,-0.19848831821481727,,36.06228796541136,35.465539896066474,0.5967480693448834,0.01682613802281548,,5.0088311213409105,5.403740293779509,-0.3949091724385987,-0.0730807090957344,,9.525687801032952,10.11759125091235,-0.591903449879398,-0.058502407855824716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distribution expenses,0.570857384012517,0.8910634343440255,-0.3202060503315085,-0.359352699246642,,1.4598484532105618,2.039719948784578,-0.5798714955740161,-0.284289760424978,,2.0307058372230786,2.9307833831286034,-0.9000775459055248,-0.30711159039829633,,2.4558040801756325,3.3777615851286202,-0.9219575049529878,-0.2729492540302785,,6.946229674447834,9.146194898781472,-2.1999652243336376,-0.24053338559696932,,9.402033754623467,12.523956483910093,-3.1219227292866254,-0.24927607607847044
,Total,0.570857384012517,0.8910634343440255,-0.3202060503315085,-0.359352699246642,,1.4598484532105618,2.039719948784578,-0.5798714955740161,-0.284289760424978,,2.0307058372230786,2.9307833831286034,-0.9000775459055248,-0.30711159039829633,,2.4558040801756325,3.3777615851286202,-0.9219575049529878,-0.2729492540302785,,6.946229674447834,9.146194898781472,-2.1999652243336376,-0.24053338559696932,,9.402033754623467,12.523956483910093,-3.1219227292866254,-0.24927607607847044
,% of Net Revenue,0.1335,0.11676525883930403,0.01673474116069598,,,0.3342000000000001,0.3530419263126739,-0.018841926312673785,,,0.23491920678299194,0.2185717217472949,0.01634748503569705,,,0.13867200537263022,0.13372275029043554,0.004949255082194681,,,0.3597805456271215,0.35117852639262825,0.008602019234493219,,,0.25399715484334223,0.24411396969015856,0.009883185153183677,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,0.6606637294894827,1.065260300495332,-0.40459657100584934,-0.37981005282719843,,0.5074253610374375,0.27091454947957105,0.23651081155786646,0.8730088952852683,,1.1680890905269186,1.3361748499749035,-0.16808575944798498,-0.12579623052412792,,1.7273604194105832,2.477068815592116,-0.749708396181533,-0.3026594947473526,,1.3231293578667982,0.9994623313321025,0.3236670265346957,0.3238411457721534,,3.050489777277381,3.4765311469242217,-0.4260413696468408,-0.12254783623146043
,% of Net Revenue,0.15450200059935118,0.13959207607945565,0.014909924519895534,,,0.11616380815814174,0.04689084620238683,0.06927296195575491,,,0.1351286619502172,0.09964913790478963,0.03547952404542756,,,0.09753894266021505,0.09806507840518185,-0.0005261357449667936,,,0.0685315955013279,0.038375489762295587,0.03015610573903231,,,0.08240937487872116,0.06776371509414485,0.014645659784576312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6606637.2948948275,10652603.004953321,,,,5074253.610374375,2709145.4947957103,,,,,,,,,17273604.19410583,24770688.15592116,,,,13231293.578667982,9994623.313321024,,,,,,,
,,6606637.294894826,10652603.00495332,,,,5074253.61037438,2709145.49479571,,,,,,,,,17273604.19410583,24770688.15592116,,,,13231293.578667983,9994623.313321024,,,,,,,
,,0,0,,,,0,0,,,,,,,,,0,0,,,,0,0,,,,,,,
