Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Particulars,Annapurna Salt,CC Salt,Annapurna Atta,Total
,Qty (tonnes),,,,
,HUL 2022 Avg,5509.641873278237,1377.4104683195592,1129.12779505405,8016.180136651846
,2023-06-01 00:00:00,4921.5834,1496.675,912.57,7330.8284
,Difference,-588.0584732782363,119.26453168044077,-216.55779505404996,-685.3517366518454
,%,-0.1067326128999999,0.08658605,-0.1917921036065573,-0.08549604986023922
,,,,,
,GSV (INR Crs),,,,
,HUL 2022 Avg,6,1.5,5.083333333333333,12.583333333333332
,2023-06-01 00:00:00,5.256544008,1.69678295,4.5930024419999995,11.5463294
,Difference,-0.7434559920000003,0.19678295,-0.4903308913333335,-1.0370039333333327
,%,-0.12390933200000005,0.13118863333333333,-0.09645853600000004,-0.08241090860927149
