Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Budget,307.8883335458488,0,106.73611018520447,3854.452267759424,198.41888720781066,0,4467.495598698288,0,,,,Budget,0.4014853878359495,0,0.16800028923708774,4.640748022557107,0.10317782134806155,0,5.313411520978205,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,True,True,True,True,True,1,,,,,,,,,,,,,,
,Particulars (Tonnes),Andhra Pradesh,Bihar,Karnataka,Maharashtra,Madhya Pradesh,Gujarat,Total,,,,,Particulars (INR Crs),Andhra Pradesh,Bihar,Karnataka,Maharashtra,Madhya Pradesh,Gujarat,Total,
,Actual,266,727,53.125,3827.25,0,282,5155.375,,,,,Actual,0.33486379231788077,0.599048,0.08361874999999999,4.608007548983443,0,0.339528,5.965066091301324,
,Budget,307.8883335458488,0,106.73611018520447,3854.452267759424,198.41888720781066,0,4467.495598698288,,,,,Budget,0.4014853878359495,0,0.16800028923708774,4.640748022557107,0.10317782134806155,0,5.313411520978205,
,Difference,-41.88833354584881,727,-53.61111018520447,-27.202267759424103,-198.41888720781066,282,687.8794013017123,,,,,Difference,-0.06662159551806873,0.599048,-0.08438153923708774,-0.03274047357366339,-0.10317782134806155,0.339528,0.6516545703231191,
,%,-0.1360504084823047,True,-0.50227715898753,-0.007057362724908424,-1,1,0.153974276214652,,,,,%,-0.16593778388091898,1,-0.5022702021542691,-0.007054999197224891,-1,1,0.12264334651104697,
,,,,,,,,,,,,,,,,,,,,,
,Particulars,Andhra Pradesh,Bihar,Karnataka,Maharashtra,Madhya Pradesh,Gujarat,Total,,,,,,,,,,,,,
,Actual Qty (Tonnes),0.05159663458041364,0.14101786969910046,0.010304778992798778,0.7423805251800305,0,0.054700191547656575,1,,,,,,,,,,,,,
,Budget Qty (Tonnes),0.06891743410683146,0,0.02389171020477437,0.8627769591720497,0.044413896516344586,0,1,,,,,,,,,,,,,
,Actual GSV,12.588864372852662,8.24,15.739999999999998,12.039996208722826,0,12.04,11.570576517326721,,,,,,,,,,,,,
,Budget GSV,13.039967549668875,0,15.739779999999998,12.039967549668873,5.200000000000001,0,11.893490219724885,,,,,,,,,,,,,
