Unnamed: 0,AP Brand,0.15641858165745182,0.21809444136077288,Unnamed: 4,Unnamed: 5,Unnamed: 6,0.8435814183425483,0.7819055586392272,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,CC Brand,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Total YTD,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,AP YTD Jun 23 Brand,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,CC YTD Jun 23 Brand,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100
,Particulars,Annapurna,,,,,,,,,,Total,,,,,Particulars,Captain Cook,,,,,Particulars,Annapurna,,,,,,,,,,Captain Cook,,,,,Total,,,,,,Particulars,Annapurna,,,,,,,,,,Total,,,,,,Particulars,Captain Cook,,,,,,Actual Jun 23 vs FY 22 Avg,,,,,,,,,,,,,,,,,Actual Jun 23 vs FY 22 Avg,,,,,,,,,,,,,,
,,Atta,,,,,Salt,,,,,,,,,,,Salt,,,,,,Atta,,,,,Salt,,,,,Salt,,,,,,,,,,,,Atta,,,,,Salt,,,,,,,,,,,,Salt,,,,,,Particulars,Atta,,,,,Salt,,,,,Total,,,,,,Particulars,Atta,,,,,Salt,,,,,Total,,,
,INR Cr,"Jun 23
Actual","Jun 23
Budget",Difference,%,,"Jun 23
Actual","Jun 23
Budget",Difference,%,,"Jun 23
Actual","Jun 23
Budget",Difference,%,,INR Cr,"Jun 23
Actual","Jun 23
Budget",Difference,%,,INR Cr,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,,INR Cr,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,,INR Cr,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,,INR Cr,"Jun 23
Actual",HUL CY 22-23 monthly Avg,Difference,%,,"Jun 23
Actual",HUL CY 22-23 monthly Avg,Difference,%,,"Jun 23
Actual",HUL CY 22-23 monthly Avg,Difference,%,,,INR Cr,"YTD Jun 23
Actual",HUL JQ 22 (monthly Avg),Difference,%,,"YTD Jun 23
Actual",HUL JQ 22 (monthly Avg),Difference,%,,"YTD Jun 23
Actual",HUL JQ 22 (monthly Avg),Difference,%
,Total Volumes ('000 tn),0.9125700000000001,1.712102308452095,-0.7995323084520949,-0.46698862825256565,,4.9215834,6.13817712906886,-1.21659372906886,-0.19820114400208144,,5.8341534,7.850279437520955,-2.016126037520955,-0.25682220022445834,,Total Volumes ('000 tn),1.496675,0.9396565286183431,0.5570184713816568,0.5927894442458549,,Total Volumes ('000 tn),3.7508100631256514,5.471397909649865,-1.720587846524214,-0.3144695149094577,,22.0360649,29.421531247429304,-7.385466347429304,-0.2510225006754061,,5.155375,4.467495598698288,0.6878794013017124,0.15397427621465204,,30.94224996312565,39.36042475577746,-8.418174792651808,-0.21387408405485156,,,Total Volumes ('000 tn),3.7508100631256514,5.471397909649865,-1.720587846524214,-0.3144695149094577,,22.0360649,29.421531247429304,-7.385466347429304,-0.2510225006754061,,25.78687496312565,34.892929157079166,-9.106054193953515,-0.26097133184091126,,,Total Volumes ('000 tn),5.155375,4.467495598698288,0.6878794013017124,0.15397427621465204,,,Total Volumes ('000 tn),0.9125700000000001,1.12912779505405,-0.21655779505404982,-0.19179210360655718,,6.418258400000001,6.887052341597796,-0.4687939415977951,-0.06806888031999984,,7.3308284000000015,8.016180136651846,-0.6853517366518442,-0.08549604986023907,,,Total Volumes ('000 tn),3.7508100631256514,3.38738338516215,0.36342667796350137,0.10728832158633989,,27.191439900000002,20.66115702479339,6.530282875206613,0.31606569116000005,,30.942249963125654,24.04854040995554,6.893709553170115,0.28665812709016963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total GSV,4.5930024419999995,8.36031250254493,-3.767310060544931,-0.45061833028348386,,5.256544008,6.843549047020151,-1.587005039020151,-0.2318979564720402,,9.849546449999998,15.203861549565081,-5.354315099565083,-0.35216810427468326,,Total GSV,1.69678295,1.1270025699966195,0.5697803800033805,0.5055715001653365,,Total GSV,19.191007098,27.624992468454497,-8.433985370454497,-0.3053027210807541,,23.467081917,31.231914087314497,-7.764832170314495,-0.24861851721948564,,5.96506775,5.313411520978205,0.6516562290217953,0.12264365868311752,,48.623156765000004,64.1703180767472,-15.547161311747189,-0.24227963609519446,,,Total GSV,19.191007098,27.624992468454497,-8.433985370454497,-0.3053027210807541,,23.467081917,31.231914087314497,-7.764832170314495,-0.24861851721948564,,42.658089015,58.856906555768994,-16.198817540768992,-0.27522373309613274,,,Total GSV,5.96506775,5.313411520978205,0.6516562290217953,0.12264365868311752,,,Total GSV,4.5930024419999995,5.083333333333333,-0.4903308913333335,-0.09645853600000004,,6.953326958,7.5,-0.5466730420000001,-0.07288973893333335,,11.5463294,12.583333333333332,-1.0370039333333327,-0.08241090860927149,,,Total GSV,19.191007098,15.25,3.941007098,0.25842669495081966,,29.432149667,22.5,6.932149667000001,0.3080955407555556,,48.623156765000004,37.75,10.873156765000004,0.28803064278145707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Promotions,0.316917168498,0.7290748964147143,-0.41215772791671434,-0.5653160326100019,,0.8883559373519998,1.06599177474851,-0.17763583739651012,-0.16663903193663776,,1.20527310585,1.7950666711632244,-0.5897935653132245,-0.3285635986606733,,Trade Promotions,0.28675631854999994,0.1904634343294287,0.09629288422057125,0.5055715001653361,,Trade Promotions,1.4815633384137847,2.36555398253956,-0.8839906441257754,-0.37369286461041146,,4.160230118384562,5.187625466558258,-1.0273953481736964,-0.1980473252737199,,1.061941726686653,0.8979665470453165,0.16397517964133657,0.18260722538148344,,6.703735183485,8.451145996143136,-1.7474108126581367,-0.2067661372144802,,,Trade Promotions,1.4815633384137847,2.36555398253956,-0.8839906441257754,-0.37369286461041146,,4.160230118384562,5.187625466558258,-1.0273953481736964,-0.1980473252737199,,5.6417934567983465,7.553179449097819,-1.911385992299472,-0.25305714039771365,,,Trade Promotions,1.061941726686653,0.8979665470453165,0.16397517964133657,0.18260722538148344,,,Trade Promotions,0.316917168498,0.4166666666666667,-0.09974949816866668,-0.23939879560480004,,1.1751122559019997,1.25,-0.07488774409800025,-0.059910195278400205,,1.4920294243999996,1.6666666666666667,-0.1746372422666671,-0.10478234536000025,,,Trade Promotions,1.4815633384137847,1.25,0.23156333841378474,0.1852506707310278,,5.222171845071214,3.75,1.4721718450712142,0.3925791586856571,,6.703735183484999,5,1.7037351834849987,0.34074703669699974
,% of GSV,0.069,0.08720665599435182,-0.01820665599435181,,,0.16899999999999998,0.15576592896819655,0.013234071031803435,,,0.12236838639915243,0.11806649681143497,0.004301889587717461,,,% of GSV,0.16899999999999996,0.16899999999999998,0,,,% of GSV,0.07720091659849297,0.08563093674109888,-0.00843002014260591,,,0.17727939643704962,0.16610014525703765,0.011179251180011979,,,0.17802676703657777,0.16899999999999998,0.009026767036577787,,,0.13787124550314045,0.13169867704310945,0.006172568460031003,,,,% of GSV,0.07720091659849297,0.08563093674109888,-0.00843002014260591,,,0.17727939643704962,0.16610014525703765,0.011179251180011979,,,0.1322561227441413,0.12833123402333277,0.003924888720808539,,,,% of GSV,0.17802676703657777,0.16899999999999998,0.009026767036577787,,,,% of GSV,0.069,0.0819672131147541,-0.0129672131147541,,,0.16899999999999996,0.16666666666666666,0.0023333333333332984,,,0.12922110332310455,0.13245033112582782,-0.003229227802723278,,,,% of GSV,0.07720091659849297,0.08196721311475409,-0.00476629651626112,,,0.1774308674070937,0.16666666666666666,0.010764200740427055,,,0.13787124550314042,0.13245033112582782,0.005420914377312597,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
