Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Actual YTD Jun 23 vs Budget YTD Jun 23,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Particulars,,,Annapurna,,,,,,,,,,Total,,,,,,Particulars,Captain Cook,,,
,,,,Atta,,,,,Salt,,,,,,,,,,,,Salt,,,
,INR Cr,,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%,,"YTD Jun 23
Actual","YTD Jun 23
Budget2",Difference,%,,,INR Cr,"YTD Jun 23
Actual","YTD Jun 23
Budget",Difference,%
,Total Volumes ('000 tn),,,3.7508100631256514,5.471397909649865,-1.720587846524214,-0.3144695149094577,,22.0360649,29.421531247429304,-7.385466347429304,-0.2510225006754061,,25.78687496312565,34.892929157079166,-9.106054193953515,-0.26097133184091126,,,Total Volumes ('000 tn),5.155375,4.467495598698288,0.6878794013017124,0.15397427621465204
,,,,,,,,,,,,,,,,,,,,,,,,
,Total GSV,,,19.191007098,27.624992468454497,-8.433985370454497,-0.3053027210807541,,23.467081917,31.231914087314497,-7.764832170314495,-0.24861851721948564,,42.658089015,58.856906555768994,-16.198817540768992,-0.27522373309613274,,,Total GSV,5.96506775,5.313411520978205,0.6516562290217953,0.12264365868311752
,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Promotions,,,1.4815633384137847,2.36555398253956,-0.8839906441257754,-0.37369286461041146,,4.160230118384562,5.187625466558258,-1.0273953481736964,-0.1980473252737199,,5.6417934567983465,7.553179449097819,-1.911385992299472,-0.25305714039771365,,,Trade Promotions,1.061941726686653,0.8979665470453165,0.16397517964133657,0.18260722538148344
,% of GSV,,,0.07720091659849297,0.08563093674109888,,,,0.17727939643704962,0.16610014525703765,,,,0.1322561227441413,0.12833123402333277,,,,,% of GSV,0.17802676703657777,0.16899999999999998,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Realisation (Rs/Kg),,,51.16496643396444,50.489825314537065,0.6751411194273729,0.013371825218674024,,10.649397713926684,10.615325838978341,0.034071874948342185,0.0032096871509335965,,16.54255859851169,16.8678606174936,-0.3253020189819118,-0.01928531580611605,,,Realisation (Rs/Kg),11.570579734742866,11.893490219724882,-0.3229104849820157,-0.027150187120554524
,Total Net Revenue,,,17.709443759586215,25.259438485914938,-7.549994726328723,-0.2988979636478744,,19.30685179861544,26.044288620756237,-6.737436822140797,-0.2586915281214989,,37.016295558201655,51.303727106671175,-14.28743154846952,-0.27848720461893467,,,Total Net Revenue,4.903126023313347,4.415444973932888,0.4876810493804591,0.11044890203808291
,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,13.526279259999999,19.4046080851942,-5.8783288251942025,-0.3029346843484766,,11.037492766300808,15.898631390642663,-4.861138624341855,-0.3057583074227973,,24.563772026300807,35.30323947583686,-10.739467449536054,-0.3042062884027012,,,COGS,2.2350437926862634,2.0720880398938943,0.16295575279236907,0.07864325726271436
,% of Net Rev,,,0.7637890519671547,0.7682121713043826,,,,0.5716878588715507,0.6104459838450762,,,,0.6635934702779366,0.6881223152156966,,,,,% of Net Rev,0.4558405764116798,0.4692818169237112,,
,Material Cost,,,13.526279259999999,19.4046080851942,-5.8783288251942025,-0.3029346843484766,,11.037492766300808,15.898631390642663,-4.861138624341855,-0.3057583074227973,,24.563772026300807,35.30323947583686,-10.739467449536054,-0.3042062884027012,,,Material Cost,2.2350437926862634,2.0720880398938943,0.16295575279236907,0.07864325726271436
,,,,,,,,,,,,,,,,,,,,,,,,
,Material Cost (Rs/Kg),,,36.06228796541136,35.465539896066474,0.5967480693448834,0.01682613802281548,,5.0088311213409105,5.403740293779509,-0.3949091724385987,-0.0730807090957344,,9.525687801032952,10.11759125091235,-0.591903449879398,-0.058502407855824716,,,Material Cost (Rs/Kg),4.335366084302817,4.638142319597689,-0.3027762352948722,-0.06527963448114608
,Gross profit,,,4.183164499586216,5.854830400720736,-1.6716659011345207,-0.28551909905515566,,8.269359032314632,10.145657230113574,-1.876298197798942,-0.18493609189061258,,12.452523531900848,16.000487630834314,-3.547964098933466,-0.22174099819909454,,,Gross profit,2.6680822306270837,2.3433569340389937,0.32472529658809,0.13857269964776375
,% of Net Revenue,,,0.23621094803284529,0.23178782869561737,,,,0.42831214112844934,0.38955401615492385,,,,0.33640652972206336,0.3118776847843034,,,,,% of Net Revenue,0.5441594235883203,0.5307181830762888,,
,,,,,,,,,,,,,,,,,,,,,,,,
