Unnamed: 0,Unnamed: 1,Actual Jul 23 vs Budget Jul 23,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Actual YTD Jul 23 vs Budget YTD Jul 23,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Particulars,Annapurna,,,,,,,,,,Captain Cook,,,,,Total,,,,,Annapurna,,,,,,,,,,Captain Cook,,,,,Total,,,,,Actual Jul 23 vs FY 22 Avg,,,,,,,,,,,,,,,Actual YTD Jun 23 vs FY 22 Avg,,,,,,,,,,,,,,
,Particulars,Atta,,,,,Salt,,,,,Salt,,,,,,,,,,Atta,,,,,Salt,,,,,Salt,,,,,,,,,,Atta,,,,,Salt,,,,,Total,,,,,Atta,,,,,Salt,,,,,Total,,,,
,INR Cr,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"Jul 23
Actual","Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%,,"YTD Jul 23
Actual","YTD Jul 23
Budget",Difference,%,,"Jul 23
Actual",HUL CY 22-23 monthly Avg,Difference,%,,"Jul 23
Actual",HUL CY 22-23 monthly Avg,Difference,%,,"Jul 23
Actual",HUL CY 22-23 monthly Avg,Difference,%,,"YTD Jul 23
Actual",HUL YTD Jul 22 (monthly Avg),Difference,%,,"YTD Jul 23
Actual",HUL YTD Jul 22 (monthly Avg),Difference,%,,"YTD Jul 23
Actual",HUL YTD Jul 22 (monthly Avg),Difference,%,
,Total Volumes ('000 tn),0.9125700000000001,1.712102308452095,-0.7995323084520949,-0.46698862825256565,,4.9215834,6.13817712906886,-1.21659372906886,-0.19820114400208144,,1.496675,0.9396565286183431,0.5570184713816568,0.5927894442458549,,7.3308284,8.789935966139298,-1.4591075661392985,-0.16599751940857033,,3.7508100631256514,5.471397909649865,-1.720587846524214,-0.3144695149094577,,22.0360649,29.421531247429304,-7.385466347429304,-0.2510225006754061,,5.155375,4.467495598698288,0.6878794013017124,0.15397427621465204,,30.94224996312565,39.36042475577746,-8.418174792651808,-0.21387408405485156,,0.9125700000000001,1.12912779505405,-0.21655779505404982,-0.19179210360655718,,6.4182584,6.887052341597796,-0.46879394159779597,-0.06806888031999998,,7.3308284,8.016180136651846,-0.685351736651846,-0.08549604986023929,,3.7508100631256514,5.645638975270249,-1.894828912144598,-0.335627007048196,,27.191439900000002,34.43526170798898,-7.243821807988976,-0.21036058530399987,,30.942249963125654,40.08090068325923,-9.138650720133576,-0.22800512374589818,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total GSV,4.5930024419999995,8.36031250254493,-3.767310060544931,-0.45061833028348386,,5.256544008,6.843549047020151,-1.587005039020151,-0.2318979564720402,,1.69678295,1.1270025699966195,0.5697803800033805,0.5055715001653365,,11.546329399999998,16.3308641195617,-4.784534719561702,-0.2929749880063366,,19.191007098,27.624992468454497,-8.433985370454497,-0.3053027210807541,,23.467081917,31.231914087314497,-7.764832170314495,-0.24861851721948564,,5.96506775,5.313411520978205,0.6516562290217953,0.12264365868311752,,48.623156765000004,64.1703180767472,-15.547161311747189,-0.24227963609519446,,4.5930024419999995,5.083333333333333,-0.4903308913333335,-0.09645853600000004,,6.953326958,7.5,-0.5466730420000001,-0.07288973893333335,,11.5463294,12.583333333333332,-1.0370039333333327,-0.08241090860927149,,19.191007098,25.416666666666664,-6.225659568666664,-0.24494398302950812,,29.432149667,37.5,-8.067850332999999,-0.21514267554666663,,48.623156765000004,62.916666666666664,-14.29350990166666,-0.22718161433112571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trade Promotions,0.316917168498,0.7290748964147143,-0.41215772791671434,-0.5653160326100019,,0.8883559373519998,1.06599177474851,-0.17763583739651012,-0.16663903193663776,,0.28675631854999994,0.1904634343294287,0.09629288422057125,0.5055715001653361,,1.4920294243999999,1.985530105492653,-0.4935006810926532,-0.24854857638645828,,1.4815633384137847,2.36555398253956,-0.8839906441257754,-0.37369286461041146,,4.160230118384562,5.187625466558258,-1.0273953481736964,-0.1980473252737199,,1.061941726686653,0.8979665470453165,0.16397517964133657,0.18260722538148344,,6.703735183485,8.451145996143136,-1.7474108126581367,-0.2067661372144802,,0.316917168498,0.4166666666666667,-0.09974949816866668,-0.23939879560480004,,1.1751122559019997,1.25,-0.07488774409800025,-0.059910195278400205,,1.4920294243999996,1.6666666666666667,-0.1746372422666671,-0.10478234536000025,,1.4815633384137847,2.0833333333333335,-0.6017699949195487,-0.2888495975613834,,5.222171845071214,6.25,-1.0278281549287858,-0.16445250478860574,,6.703735183484999,8.333333333333334,-1.6295981498483352,-0.1955517779818002,
,% of GSV,0.069,0.08720665599435182,-0.01820665599435181,,,0.16899999999999998,0.15576592896819655,0.013234071031803435,,,0.16899999999999996,0.16899999999999998,0,,,0.12922110332310457,0.12158144792315756,0.007639655399947015,,,0.07720091659849297,0.08563093674109888,-0.00843002014260591,,,0.17727939643704962,0.16610014525703765,0.011179251180011979,,,0.17802676703657777,0.16899999999999998,0.009026767036577787,,,0.13787124550314045,0.13169867704310945,0.006172568460031003,,,0.069,0.0819672131147541,-0.0129672131147541,,,0.16899999999999996,0.16666666666666666,0.0023333333333332984,,,0.12922110332310455,0.13245033112582782,-0.003229227802723278,,,0.07720091659849297,0.0819672131147541,-0.004766296516261134,,,0.1774308674070937,0.16666666666666666,0.010764200740427055,,,0.13787124550314042,0.13245033112582782,0.005420914377312597,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
