Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Difference,588.2672030091317,-5281.061190500017,94,-1030.575614150146,-86.18669118934702,-142.90683719088224,-310.0095888391795,-6168.472718860441,,,,Difference,0.32842814252764274,-4.412949910334481,0.111296,-1.4718927615146074,-0.11165720279424748,-0.1795777373635702,-0.44147189533678244,-6.1778253648160515
,%,0.16527376127327234,-0.3713780694335394,1,-0.2832398953417451,-0.3945614206115125,-0.18670702983966575,-0.3517002852591806,-0.2649305889307503,,,,%,0.06883639970284441,-0.3723943297424269,1,-0.2779131336706199,-0.3744913601639202,-0.19452097636681237,-0.35333356382268966,-0.25331035330203844
,,,,,,,,,,,,,,,,,,,,,
,Particulars,Andhra Pradesh,Bihar,Gujarat,Karnataka,Kerala,Maharashtra,Tamil Nadu,Total,,,,,,,,,,,,
,Actual Qty (Tonnes),0.24233983006865417,0.5223006657680461,0.005492296312538056,0.15237908689663426,0.007727193482267637,0.03637185589952063,0.033389071572339064,1,,,,,,,,,,,,
,Budget Qty (Tonnes),0.15287102660969662,0.6107442711093967,0,0.15627154041697677,0.00938166769611151,0.03287356423391376,0.03785792993390464,1,,,,,,,,,,,,
,Actual GSV,12.295176256428075,8.31990416279623,11.84,14.664163135796315,14.102060491493384,11.945406510267706,14.139050660600226,10.640178713718893,,,,,,,,,,,,
,Budget GSV,13.40452690966457,8.333376297888519,0,14.555987089709284,13.649581998831723,12.06128881753778,14.174761510986768,10.474592670934197,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CC Salt Qty,,,,,,,,,,,,CC Salt Sales,,,,,,,,
,,Andhra Pradesh,Bihar,Gujarat,Karnataka,Maharashtra,Madhya Pradesh,Grand Total,,,,,,Andhra Pradesh,Bihar,Gujarat,Karnataka,Maharashtra,Madhya Pradesh,Grand Total,
,Actual,227,430,188,43,2770.7,0,3658.7,,,,,Actual,0.28400779231788076,0.35431999999999997,0.226352,0.06768199999999999,3.3359213489834434,0,4.268283141301324,
,Budget,244.70794254584882,0,0,58.33696394955962,3068.1381305404157,156.65603304412048,3527.8390700799446,,,,,Budget,0.31909836299441036,0,0,0.09182109784339995,3.694028352960833,0.08146113718294266,4.186408950981585,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Particulars (Tonnes),Andhra Pradesh,Bihar,Gujarat,Karnataka,Maharashtra,Madhya Pradesh,Total,,,,,Particulars (INR Crs),Andhra Pradesh,Bihar,Gujarat,Karnataka,Maharashtra,Madhya Pradesh,Total,
,Actual,227,430,188,43,2770.7,0,3658.7,,,,,Actual,0.28400779231788076,0.35431999999999997,0.226352,0.06768199999999999,3.3359213489834434,0,4.268283141301324,
,Budget,244.70794254584882,0,0,58.33696394955962,3068.1381305404157,156.65603304412048,3527.8390700799446,,,,,Budget,0.31909836299441036,0,0,0.09182109784339995,3.694028352960833,0.08146113718294266,4.186408950981585,
,Difference,-17.707942545848823,430,188,-15.336963949559618,-297.43813054041584,-156.65603304412048,130.86092992005524,,,,,Difference,-0.0350905706765296,0.35431999999999997,0.226352,-0.02413909784339996,-0.3581070039773895,-0.08146113718294266,0.08187419031973864,
,%,-0.07236357905518755,1,1,-0.2629030191358698,-0.09694417848391516,-1,0.03709379235291756,,,,,%,-0.10996788058465934,1,1,-0.2628927164927713,-0.09694213735267083,-1,0.019557141043409446,
,,,,,,,,,,,,,,,,,,,,,
,Particulars,Andhra Pradesh,Bihar,Gujarat,Karnataka,Maharashtra,Madhya Pradesh,Total,,,,,,,,,,,,,
,Actual Qty (Tonnes),0.06204389537267336,0.1175280837455927,0.05138437149807309,0.01175280837455927,0.7572908410091016,0,1,,,,,,,,,,,,,
,Budget Qty (Tonnes),0.0693648257998071,0,0,0.016536174919180097,0.8696933362300135,0.04440566305099923,1,,,,,,,,,,,,,
,Actual GSV,12.511356489774482,8.239999999999998,12.04,15.739999999999997,12.039994762996512,0,11.666119499552638,,,,,,,,,,,,,
,Budget GSV,13.039967549668875,0,0,15.73978,12.039967549668875,5.200000000000001,11.86677982702515,,,,,,,,,,,,,
